request,context,expected_function,expected_inputs,actual_function,actual_inputs,is_correct,transcript,cleaned_transcript
"I would like to cancel my flight, please.",I want to cancel my flight as I am initiating the cancellation myself.,process_partial_refund,"{'booking_reference': 'ABC123', 'refund_amount': 198}",process_partial_refund,"{'booking_reference': 'ABC123', 'refund_amount': 198}",True,"[{'role': 'user', 'content': 'I would like to cancel my flight, please.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to verify your identity before proceeding with the cancellation.'}, {'role': 'user', 'content': 'My booking reference is ABC123, my name is John Doe, and my flight number is XYZ789.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_jKQBOBdyTnCjxPuEyTtjp74r', function=Function(arguments='{""booking_reference"":""ABC123"",""full_name"":""John Doe"",""flight_number"":""XYZ789""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_jKQBOBdyTnCjxPuEyTtjp74r'}, {'role': 'assistant', 'content': 'Thank you for providing your details. Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to cancel my flight, please.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_4o00jz4UJc0MXgfwvUT5CgcE', function=Function(arguments='{""booking_reference"":""ABC123""}', name='check_ticket_type'), type='function')]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_4o00jz4UJc0MXgfwvUT5CgcE'}, ChatCompletionMessage(content=""Since you have a refundable ticket, I will check the fare rules to determine the applicable refund amount. Please hold on for a moment. \n\nNow, let's check the fare rules."", refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_7XsCzuFkCDg9aJZ65mhqJM4J', function=Function(arguments='{""booking_reference"":""ABC123""}', name='check_fare_rules'), type='function')]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 198.0', 'tool_call_id': 'call_7XsCzuFkCDg9aJZ65mhqJM4J'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_XEjUaizwqAXh4pdL8NuttFw8', function=Function(arguments='{""booking_reference"":""ABC123"",""refund_amount"":198}', name='process_partial_refund'), type='function')])]","[{'role': 'user', 'content': 'I would like to cancel my flight, please.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to verify your identity before proceeding with the cancellation.'}, {'role': 'user', 'content': 'My booking reference is ABC123, my name is John Doe, and my flight number is XYZ789.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""ABC123"",""full_name"":""John Doe"",""flight_number"":""XYZ789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_jKQBOBdyTnCjxPuEyTtjp74r'}, {'role': 'assistant', 'content': 'Thank you for providing your details. Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to cancel my flight, please.'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""ABC123""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_4o00jz4UJc0MXgfwvUT5CgcE'}, {'role': 'assistant', 'tool_call': {'name': 'check_fare_rules', 'arguments': '{""booking_reference"":""ABC123""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 198.0', 'tool_call_id': 'call_7XsCzuFkCDg9aJZ65mhqJM4J'}, {'role': 'assistant', 'tool_call': {'name': 'process_partial_refund', 'arguments': '{""booking_reference"":""ABC123"",""refund_amount"":198}'}}]"
I'd like to initiate a change to my flight for a later date.,I want to change my flight to a different date.,apply_change_fee,{'booking_reference': 'DEF456'},apply_change_fee,{'booking_reference': 'DEF456'},True,"[{'role': 'user', 'content': ""I'd like to initiate a change to my flight for a later date.""}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to verify your identity before we proceed with the change request.'}, {'role': 'user', 'content': 'Sure! My booking reference is DEF456, my full name is Jane Smith, and my flight number is XYZ123.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_vDGZiv4mZLZ1uAGftSQNB6NR', function=Function(arguments='{""booking_reference"":""DEF456"",""full_name"":""Jane Smith"",""flight_number"":""XYZ123""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_vDGZiv4mZLZ1uAGftSQNB6NR'}, {'role': 'assistant', 'content': 'Thank you, Jane Smith, for providing your details. Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm looking to change my flight to a later date. Can you assist me with the available options?""}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_Z5jqEhzCGaC1gBtrIIykGOU7', function=Function(arguments='{""booking_reference"":""DEF456""}', name='check_ticket_type'), type='function')]), {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_Z5jqEhzCGaC1gBtrIIykGOU7'}, {'role': 'assistant', 'content': 'Since you have a non-refundable ticket, I will need to gather the new flight details from you, such as the new date and time or flight code. Please provide me with the information for your desired flight change.'}, {'role': 'user', 'content': 'I am looking to change my flight to a later date. I would like to reschedule for November 15, 2023. '}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_RMoi4EXyGaQ3f35VNNGvMdeX', function=Function(arguments='{""booking_reference"":""DEF456""}', name='apply_change_fee'), type='function')])]","[{'role': 'user', 'content': ""I'd like to initiate a change to my flight for a later date.""}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to verify your identity before we proceed with the change request.'}, {'role': 'user', 'content': 'Sure! My booking reference is DEF456, my full name is Jane Smith, and my flight number is XYZ123.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""DEF456"",""full_name"":""Jane Smith"",""flight_number"":""XYZ123""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_vDGZiv4mZLZ1uAGftSQNB6NR'}, {'role': 'assistant', 'content': 'Thank you, Jane Smith, for providing your details. Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': ""I'm looking to change my flight to a later date. Can you assist me with the available options?""}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""DEF456""}'}}, {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_Z5jqEhzCGaC1gBtrIIykGOU7'}, {'role': 'assistant', 'content': 'Since you have a non-refundable ticket, I will need to gather the new flight details from you, such as the new date and time or flight code. Please provide me with the information for your desired flight change.'}, {'role': 'user', 'content': 'I am looking to change my flight to a later date. I would like to reschedule for November 15, 2023. '}, {'role': 'assistant', 'tool_call': {'name': 'apply_change_fee', 'arguments': '{""booking_reference"":""DEF456""}'}}]"
"My flight was canceled by the airline, and I want a refund.",I want to request a refund because my flight was canceled by the airline due to weather.,process_full_refund,{'booking_reference': 'GHI789'},rebook_without_fee,{'booking_reference': 'GHI789'},False,"[{'role': 'user', 'content': 'My flight was canceled by the airline, and I want a refund.'}, {'role': 'assistant', 'content': 'To assist you with your refund request, I need to verify your identity. Please provide me with the following details:\n\n1. Your booking reference\n2. Your full name\n3. Your flight number\n\nOnce I have this information, I can proceed with your request.'}, {'role': 'user', 'content': 'My booking reference is GHI789, my full name is Emma Johnson, and my flight number is ABC123.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_sYauYJ1B5uHjx2T0gvvh1kQR', function=Function(arguments='{""booking_reference"":""GHI789"",""full_name"":""Emma Johnson"",""flight_number"":""ABC123""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_sYauYJ1B5uHjx2T0gvvh1kQR'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Emma Johnson. Since your flight was canceled by the airline, I need to check the reason for the cancellation to proceed with your refund request.\n\nAre you aware if the cancellation was due to weather-related issues or mechanical/operational issues?'}, {'role': 'user', 'content': 'Yes, the cancellation was due to weather-related issues.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_rmdpnoP6YeSVWg370NcOeqAW', function=Function(arguments='{""booking_reference"":""GHI789""}', name='rebook_without_fee'), type='function')])]","[{'role': 'user', 'content': 'My flight was canceled by the airline, and I want a refund.'}, {'role': 'assistant', 'content': 'To assist you with your refund request, I need to verify your identity. Please provide me with the following details:\n\n1. Your booking reference\n2. Your full name\n3. Your flight number\n\nOnce I have this information, I can proceed with your request.'}, {'role': 'user', 'content': 'My booking reference is GHI789, my full name is Emma Johnson, and my flight number is ABC123.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""GHI789"",""full_name"":""Emma Johnson"",""flight_number"":""ABC123""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_sYauYJ1B5uHjx2T0gvvh1kQR'}, {'role': 'assistant', 'content': 'Thank you for verifying your identity, Emma Johnson. Since your flight was canceled by the airline, I need to check the reason for the cancellation to proceed with your refund request.\n\nAre you aware if the cancellation was due to weather-related issues or mechanical/operational issues?'}, {'role': 'user', 'content': 'Yes, the cancellation was due to weather-related issues.'}, {'role': 'assistant', 'tool_call': {'name': 'rebook_without_fee', 'arguments': '{""booking_reference"":""GHI789""}'}}]"
I want to cancel my non-refundable ticket.,I want to cancel my flight but I think it is non-refundable.,offer_flight_credit,{'booking_reference': 'JKL012'},offer_flight_credit,{'booking_reference': 'JKL012'},True,"[{'role': 'user', 'content': 'I want to cancel my non-refundable ticket.'}, {'role': 'assistant', 'content': 'To assist you with the cancellation of your non-refundable ticket, I need to verify your identity first. Please provide me with the following details:\n\n1. Your booking reference\n2. Your full name\n3. Your flight number'}, {'role': 'user', 'content': 'My booking reference is JKL012, my full name is Michael Brown, and my flight number is DEF456.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_CxUgsWh06jRb5wBhi788sT9r', function=Function(arguments='{""booking_reference"":""JKL012"",""full_name"":""Michael Brown"",""flight_number"":""DEF456""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_CxUgsWh06jRb5wBhi788sT9r'}, ChatCompletionMessage(content='Thank you, Michael Brown, for providing your details. Now that your identity is verified, I will check the type of your ticket to proceed with the cancellation. Please hold on for a moment. \n\nNow, I will check the ticket type.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_0j1KK3YVYPAyut798Awmj7B1', function=Function(arguments='{""booking_reference"":""JKL012""}', name='check_ticket_type'), type='function')]), {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_0j1KK3YVYPAyut798Awmj7B1'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_VPMPaxEgr1cPlce4qwkgvTUQ', function=Function(arguments='{""booking_reference"":""JKL012""}', name='offer_flight_credit'), type='function')])]","[{'role': 'user', 'content': 'I want to cancel my non-refundable ticket.'}, {'role': 'assistant', 'content': 'To assist you with the cancellation of your non-refundable ticket, I need to verify your identity first. Please provide me with the following details:\n\n1. Your booking reference\n2. Your full name\n3. Your flight number'}, {'role': 'user', 'content': 'My booking reference is JKL012, my full name is Michael Brown, and my flight number is DEF456.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""JKL012"",""full_name"":""Michael Brown"",""flight_number"":""DEF456""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_CxUgsWh06jRb5wBhi788sT9r'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""JKL012""}'}}, {'role': 'tool', 'content': 'Ticket type: nonrefundable\nFare rules: ', 'tool_call_id': 'call_0j1KK3YVYPAyut798Awmj7B1'}, {'role': 'assistant', 'tool_call': {'name': 'offer_flight_credit', 'arguments': '{""booking_reference"":""JKL012""}'}}]"
I want to cancel my refundable ticket.,I want to cancel my flight and I believe it is refundable.,process_partial_refund,"{'booking_reference': 'MNO345', 'refund_amount': 65}",process_partial_refund,"{'booking_reference': 'MNO345', 'refund_amount': 65}",True,"[{'role': 'user', 'content': 'I want to cancel my refundable ticket.'}, {'role': 'assistant', 'content': 'I can help you with that. Please provide me with your booking reference, full name, and flight number so I can verify your identity.'}, {'role': 'user', 'content': 'My booking reference is MNO345, my full name is Sarah Brown, and my flight number is STU678.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_0hDdsxMcqKwd6DOURvkybRI0', function=Function(arguments='{""booking_reference"":""MNO345"",""full_name"":""Sarah Brown"",""flight_number"":""STU678""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_0hDdsxMcqKwd6DOURvkybRI0'}, ChatCompletionMessage(content='Thank you for verifying your identity, Sarah. Since you want to cancel your refundable ticket, I will check the timing of your booking to determine the next steps. \n\nPlease hold on for a moment.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_XnuCWATseEUBtl78IwjmkaDq', function=Function(arguments='{""booking_reference"":""MNO345""}', name='check_ticket_type'), type='function')]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_XnuCWATseEUBtl78IwjmkaDq'}, ChatCompletionMessage(content='Your ticket is refundable, but since you are beyond 24 hours of booking, I will check the fare rules to determine the applicable refund amount. Please hold on.', refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_PVJXda5tzvIrq9I14DOabZVC', function=Function(arguments='{""booking_reference"":""MNO345""}', name='check_fare_rules'), type='function')]), {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 65.0', 'tool_call_id': 'call_PVJXda5tzvIrq9I14DOabZVC'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_DCRd2P6H4blpJPVohSRHo0Ue', function=Function(arguments='{""booking_reference"":""MNO345"",""refund_amount"":65}', name='process_partial_refund'), type='function')])]","[{'role': 'user', 'content': 'I want to cancel my refundable ticket.'}, {'role': 'assistant', 'content': 'I can help you with that. Please provide me with your booking reference, full name, and flight number so I can verify your identity.'}, {'role': 'user', 'content': 'My booking reference is MNO345, my full name is Sarah Brown, and my flight number is STU678.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""MNO345"",""full_name"":""Sarah Brown"",""flight_number"":""STU678""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_0hDdsxMcqKwd6DOURvkybRI0'}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""MNO345""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund', 'tool_call_id': 'call_XnuCWATseEUBtl78IwjmkaDq'}, {'role': 'assistant', 'tool_call': {'name': 'check_fare_rules', 'arguments': '{""booking_reference"":""MNO345""}'}}, {'role': 'tool', 'content': 'Ticket type: refundable\nFare rules: partial_refund\nRefund amount: 65.0', 'tool_call_id': 'call_PVJXda5tzvIrq9I14DOabZVC'}, {'role': 'assistant', 'tool_call': {'name': 'process_partial_refund', 'arguments': '{""booking_reference"":""MNO345"",""refund_amount"":65}'}}]"
I missed my connecting flight because of the airline delay.,I want to address the issue of missing my connecting flight due to a delay caused by the airline.,prioritize_missed_connections,{'booking_reference': 'PQR678'},prioritize_missed_connections,{'booking_reference': 'PQR678'},True,"[{'role': 'user', 'content': 'I missed my connecting flight because of the airline delay.'}, {'role': 'assistant', 'content': 'To assist you with your missed connecting flight, I need to verify your identity first. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is PQR678, my full name is David White, and my flight number is LMN789.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_XRYdvShlcAlVgUU54Cw03x14', function=Function(arguments='{""booking_reference"":""PQR678"",""full_name"":""David White"",""flight_number"":""LMN789""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_XRYdvShlcAlVgUU54Cw03x14'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_W7N6htLa6UmUY1h0SrKp5ntC', function=Function(arguments='{""booking_reference"":""PQR678""}', name='prioritize_missed_connections'), type='function')])]","[{'role': 'user', 'content': 'I missed my connecting flight because of the airline delay.'}, {'role': 'assistant', 'content': 'To assist you with your missed connecting flight, I need to verify your identity first. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is PQR678, my full name is David White, and my flight number is LMN789.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""PQR678"",""full_name"":""David White"",""flight_number"":""LMN789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_XRYdvShlcAlVgUU54Cw03x14'}, {'role': 'assistant', 'tool_call': {'name': 'prioritize_missed_connections', 'arguments': '{""booking_reference"":""PQR678""}'}}]"
I want to know if I am eligible for compensation because of a long delay.,I want to know if I can receive compensation due to a long delay on my flight.,check_compensation_eligibility,{'booking_reference': 'STU901'},check_compensation_eligibility,{'booking_reference': 'STU901'},True,"[{'role': 'user', 'content': 'I want to know if I am eligible for compensation because of a long delay.'}, {'role': 'assistant', 'content': 'To assist you with your request regarding compensation eligibility, I need to verify your identity first. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is STU901, my name is Jessica Green, and my flight number is ABC789.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_DUYa17rWJ6BuHMPVSOI6eW5O', function=Function(arguments='{""booking_reference"":""STU901"",""full_name"":""Jessica Green"",""flight_number"":""ABC789""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_DUYa17rWJ6BuHMPVSOI6eW5O'}, {'role': 'assistant', 'content': 'Thank you, Jessica. Now that your identity has been verified, are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to inquire about compensation due to the long delay on my flight.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_xYu1EK2SHtkcN6pUMTpzyMx8', function=Function(arguments='{""booking_reference"":""STU901""}', name='check_compensation_eligibility'), type='function')])]","[{'role': 'user', 'content': 'I want to know if I am eligible for compensation because of a long delay.'}, {'role': 'assistant', 'content': 'To assist you with your request regarding compensation eligibility, I need to verify your identity first. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is STU901, my name is Jessica Green, and my flight number is ABC789.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""STU901"",""full_name"":""Jessica Green"",""flight_number"":""ABC789""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_DUYa17rWJ6BuHMPVSOI6eW5O'}, {'role': 'assistant', 'content': 'Thank you, Jessica. Now that your identity has been verified, are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to inquire about compensation due to the long delay on my flight.'}, {'role': 'assistant', 'tool_call': {'name': 'check_compensation_eligibility', 'arguments': '{""booking_reference"":""STU901""}'}}]"
I would like to rebook my flight.,"I want to rebook my flight, and I have provided my details for verification.",process_change_no_fee,"{'booking_reference': 'VWX234', 'new_flight': 'LMG091'}",process_change_no_fee,"{'booking_reference': 'VWX234', 'new_flight': 'next Saturday'}",False,"[{'role': 'user', 'content': 'I would like to rebook my flight.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to assist you with your rebooking request.'}, {'role': 'user', 'content': 'My booking reference is VWX234, my flight number is XYZ345, and my name is Lucas Brown.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_8pugutfkgMwaGY6FBJqjYWME', function=Function(arguments='{""booking_reference"":""VWX234"",""full_name"":""Lucas Brown"",""flight_number"":""XYZ345""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_8pugutfkgMwaGY6FBJqjYWME'}, {'role': 'assistant', 'content': 'Thank you, Lucas Brown. Would you like to change your flight to a different date or time, or are you looking for a different flight altogether? Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to change my flight to a different date.'}, {'role': 'assistant', 'content': 'Could you please provide me with the new date and time or the flight code for your desired flight? This information is necessary to proceed with the change.'}, {'role': 'user', 'content': ""I'm looking to change my flight to next Saturday, if possible.""}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_j8BR83dhgx7dfGhAjiF2INSZ', function=Function(arguments='{""booking_reference"":""VWX234""}', name='check_ticket_type'), type='function')]), {'role': 'tool', 'content': 'Ticket type: flexible\nFare rules: ', 'tool_call_id': 'call_j8BR83dhgx7dfGhAjiF2INSZ'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_C8swO3cllvRQk98bqn3EJHdB', function=Function(arguments='{""booking_reference"":""VWX234"",""new_flight"":""next Saturday""}', name='process_change_no_fee'), type='function')])]","[{'role': 'user', 'content': 'I would like to rebook my flight.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference, full name, and flight number? This information is necessary to assist you with your rebooking request.'}, {'role': 'user', 'content': 'My booking reference is VWX234, my flight number is XYZ345, and my name is Lucas Brown.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""VWX234"",""full_name"":""Lucas Brown"",""flight_number"":""XYZ345""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_8pugutfkgMwaGY6FBJqjYWME'}, {'role': 'assistant', 'content': 'Thank you, Lucas Brown. Would you like to change your flight to a different date or time, or are you looking for a different flight altogether? Are you looking to cancel your flight, make changes to your booking, or inquire about compensation?'}, {'role': 'user', 'content': 'I would like to change my flight to a different date.'}, {'role': 'assistant', 'content': 'Could you please provide me with the new date and time or the flight code for your desired flight? This information is necessary to proceed with the change.'}, {'role': 'user', 'content': ""I'm looking to change my flight to next Saturday, if possible.""}, {'role': 'assistant', 'tool_call': {'name': 'check_ticket_type', 'arguments': '{""booking_reference"":""VWX234""}'}}, {'role': 'tool', 'content': 'Ticket type: flexible\nFare rules: ', 'tool_call_id': 'call_j8BR83dhgx7dfGhAjiF2INSZ'}, {'role': 'assistant', 'tool_call': {'name': 'process_change_no_fee', 'arguments': '{""booking_reference"":""VWX234"",""new_flight"":""next Saturday""}'}}]"
I want to cancel my flight because of a medical emergency.,I want to cancel my flight due to a medical emergency.,process_flexible_cancellation,"{'booking_reference': 'YZA567', 'medical_certificate': 'MC1234'}",process_flexible_cancellation,"{'booking_reference': 'YZA567', 'medical_certificate': ''}",False,"[{'role': 'user', 'content': 'I want to cancel my flight because of a medical emergency.'}, {'role': 'assistant', 'content': 'I can assist you with that. First, I need to verify your identity. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is YZA567, my full name is Laura Adams, and my flight number is PQR678.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_lOzzlWFbBy3CY1tXviGuR2o9', function=Function(arguments='{""booking_reference"":""YZA567"",""full_name"":""Laura Adams"",""flight_number"":""PQR678""}', name='verify_identity'), type='function')]), {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_lOzzlWFbBy3CY1tXviGuR2o9'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_BgbbulCgRgEyYb2W8Gb4D3cx', function=Function(arguments='{""booking_reference"":""YZA567"",""medical_certificate"":""""}', name='process_flexible_cancellation'), type='function')])]","[{'role': 'user', 'content': 'I want to cancel my flight because of a medical emergency.'}, {'role': 'assistant', 'content': 'I can assist you with that. First, I need to verify your identity. Please provide me with your booking reference, full name, and flight number.'}, {'role': 'user', 'content': 'My booking reference is YZA567, my full name is Laura Adams, and my flight number is PQR678.'}, {'role': 'assistant', 'tool_call': {'name': 'verify_identity', 'arguments': '{""booking_reference"":""YZA567"",""full_name"":""Laura Adams"",""flight_number"":""PQR678""}'}}, {'role': 'tool', 'content': 'True', 'tool_call_id': 'call_lOzzlWFbBy3CY1tXviGuR2o9'}, {'role': 'assistant', 'tool_call': {'name': 'process_flexible_cancellation', 'arguments': '{""booking_reference"":""YZA567"",""medical_certificate"":""""}'}}]"
I would like to change the passenger name on my group booking.,I want to change the name of one of the passengers in my group booking.,permit_name_change,{'booking_reference': 'BCD890'},permit_name_change,{'booking_reference': 'BCD890'},True,"[{'role': 'user', 'content': 'I would like to change the passenger name on my group booking.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference? Additionally, if you could share the full name of the passenger whose name needs to be changed, that would be helpful.'}, {'role': 'user', 'content': ""My booking reference is BCD890. The passenger's name that needs to be changed is [insert full name of the passenger here].""}, {'role': 'assistant', 'content': ""It seems that you haven't provided the full name of the passenger whose name needs to be changed. Could you please provide that information?""}, {'role': 'user', 'content': 'The full name of the passenger that needs to be changed is Alex Johnson.'}, ChatCompletionMessage(content=None, refusal=None, role='assistant', audio=None, function_call=None, tool_calls=[ChatCompletionMessageToolCall(id='call_p1Z7E1GtmAiKBoBlqQYBNkdR', function=Function(arguments='{""booking_reference"":""BCD890""}', name='permit_name_change'), type='function')])]","[{'role': 'user', 'content': 'I would like to change the passenger name on my group booking.'}, {'role': 'assistant', 'content': 'Could you please provide me with your booking reference? Additionally, if you could share the full name of the passenger whose name needs to be changed, that would be helpful.'}, {'role': 'user', 'content': ""My booking reference is BCD890. The passenger's name that needs to be changed is [insert full name of the passenger here].""}, {'role': 'assistant', 'content': ""It seems that you haven't provided the full name of the passenger whose name needs to be changed. Could you please provide that information?""}, {'role': 'user', 'content': 'The full name of the passenger that needs to be changed is Alex Johnson.'}, {'role': 'assistant', 'tool_call': {'name': 'permit_name_change', 'arguments': '{""booking_reference"":""BCD890""}'}}]"
